%% starting
% Lead: tauZ 1 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 2.002, tauZ2mT = 1.998, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 24.2410 sec
% Demo behave:: state changed from 10 to 13 at 24.3430 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 24.3450 sec
% followed line in 4.377027 sec
% Demo behave:: state changed from 14 to 90 at 28.7230 sec
% Demo behave:: state changed from 90 to 99 at 29.4690 sec
% Demo behave:: state changed from 99 to 0 at 29.4710 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1371
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.10 V)
0.0540 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13728 0.88 0.88 1 0 588 576 639 832 965 777 593 564  1 1 1 0.69 0 20 12.07 
0.0560 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13729 0.91 0.91 1 0 582 575 631 829 971 789 587 585  1 1 1 0.69 0 20 12.07 
0.0580 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13729 0.95 0.95 1 0 578 569 630 829 980 803 589 563  1 1 1 0.69 0 20 12.08 
0.0600 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13730 0.93 0.93 1 0 597 569 630 832 972 797 589 583  1 1 1 0.70 0 20 12.07 
0.0620 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13731 0.93 0.93 1 0 593 564 637 837 976 802 578 589  1 1 1 0.70 0 20 12.07 
0.0640 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13732 0.95 0.95 1 0 591 570 639 842 973 817 569 568  1 1 1 0.70 0 20 12.10 
0.0660 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13731 0.97 0.97 1 0 597 569 635 830 977 817 572 563  1 1 1 0.70 0 20 12.08 
0.0680 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13731 0.95 0.95 1 0 588 569 646 833 973 807 576 559  1 1 1 0.69 0 20 12.07 
0.0700 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13729 0.87 0.87 1 0 594 574 646 838 967 780 581 576  1 1 1 0.69 0 20 12.07 
0.0720 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13727 0.94 0.94 1 0 582 565 633 829 968 802 586 553  1 1 1 0.69 0 20 12.07 
0.0740 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13726 0.90 0.90 1 0 589 579 642 822 959 779 571 564  1 1 1 0.69 0 20 12.07 
0.0760 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13723 0.91 0.91 1 0 570 569 621 834 960 793 581 546  1 1 1 0.68 0 20 12.07 
0.0780 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13721 0.95 0.95 1 0 558 566 624 822 967 799 578 536  1 1 1 0.68 0 20 12.07 
0.0800 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13720 0.94 0.94 1 0 547 566 627 810 956 786 568 564  1 1 1 0.68 0 20 12.07 
0.0820 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13719 0.94 0.94 1 0 548 564 633 820 968 792 586 564  1 1 1 0.68 0 20 12.07 
0.0840 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13719 0.94 0.94 1 0 570 583 641 824 967 797 572 564  1 1 1 0.69 0 20 12.07 
0.0860 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13719 0.93 0.93 1 0 574 560 634 826 969 793 576 572  1 1 1 0.69 0 20 12.08 
0.0880 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13720 0.94 0.94 1 0 570 571 634 829 977 801 574 581  1 1 1 0.69 0 20 12.08 
0.0900 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13722 0.93 0.93 1 0 567 560 631 828 965 794 555 572  1 1 1 0.68 0 20 12.08 
0.0920 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13723 0.97 0.97 1 0 575 568 624 817 980 803 583 563  1 1 1 0.69 0 20 12.08 
0.0940 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13724 0.92 0.92 1 0 569 575 639 828 977 790 590 553  1 1 1 0.69 0 20 12.06 
0.0960 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13725 0.91 0.91 1 0 583 575 637 837 977 793 567 534  1 1 1 0.69 0 20 12.07 
0.0980 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13726 0.89 0.89 1 0 574 568 637 832 981 781 587 548  1 1 1 0.69 0 20 12.07 
0.1000 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13726 0.86 0.86 1 0 577 568 640 849 956 786 589 544  1 1 1 0.69 0 20 12.07 
0.1020 2.00 2.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13726 0.89 0.89 1 0 577 575 633 848 971 794 593 525  1 1 1 0.69 0 20 12.07 
0.1040 2.00 2.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13725 0.95 0.95 1 0 561 560 626 824 977 798 594 563  1 1 1 0.69 0 20 12.05 
0.1060 6.83 -2.83 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13722 0.91 0.91 1 0 583 573 628 829 978 788 585 544  1 1 1 0.69 0 20 12.03 
0.1080 6.79 -2.79 -0.0000 0.0000 0.0000 0.0002 -0.0000 -0.00159 3.13719 0.91 0.91 1 0 575 581 623 821 952 784 590 540  1 1 1 0.68 0 20 11.84 
0.1100 6.79 -2.79 -0.0000 0.0000 0.0000 0.0004 -0.0000 -0.00319 3.13711 0.92 0.92 1 0 574 566 628 824 951 790 582 548  1 1 1 0.68 0 20 11.74 
0.1120 6.67 -2.67 -0.0000 0.0000 0.0000 0.0007 -0.0000 -0.00637 3.13704 0.91 0.91 1 0 585 568 629 829 965 789 565 553  1 1 1 0.69 0 20 11.73 
0.1140 6.79 -2.79 0.2967 0.0000 -1.2625 0.0011 -0.0000 -0.00956 3.13706 0.94 0.94 1 0 580 568 629 820 965 794 583 559  1 1 1 0.69 0 20 11.76 
0.1160 6.78 -2.78 0.4819 0.0000 -2.0507 0.0015 -0.0000 -0.01593 3.13702 0.95 0.95 1 0 585 564 641 813 969 792 578 548  1 1 1 0.69 0 20 11.78 
0.1180 6.38 -2.38 0.6015 0.0000 -2.5598 0.0021 -0.0000 -0.02390 3.13659 0.89 0.89 1 0 586 559 637 825 969 775 574 566  1 1 1 0.69 0 20 11.80 
0.1200 6.35 -2.35 0.6565 0.0000 -2.7934 0.0024 -0.0000 -0.03028 3.13638 0.89 0.89 1 0 570 558 636 828 965 779 574 568  1 1 1 0.69 0 20 11.85 
0.1220 6.30 -2.30 0.6921 0.0000 -2.9452 0.0030 -0.0001 -0.03824 3.13695 0.89 0.89 1 0 583 554 640 828 956 780 578 553  1 1 1 0.68 0 20 11.87 
0.1240 6.12 -2.12 0.6834 -0.2137 -3.8174 0.0036 -0.0001 -0.04621 3.13766 0.86 0.86 1 0 577 555 635 833 948 775 585 555  1 1 1 0.68 0 20 11.88 
0.1260 6.04 -2.04 0.6840 -0.2112 -3.8093 0.0039 -0.0001 -0.05258 3.13837 0.86 0.86 1 0 574 565 637 829 959 768 585 564  1 1 1 0.69 0 20 11.88 
0.1280 5.78 -1.78 0.6704 -0.1997 -3.7026 0.0045 -0.0001 -0.06055 3.13919 0.82 0.82 1 0 569 561 641 833 955 757 567 561  1 1 1 0.68 0 20 11.92 
0.1300 5.78 -1.78 0.6684 -0.1992 -3.6922 0.0052 -0.0002 -0.06693 3.14003 0.83 0.83 1 0 569 576 640 844 965 766 611 576  1 1 1 0.69 0 20 11.94 
0.1320 5.90 -1.90 0.6841 -0.1713 -3.6399 0.0056 -0.0002 -0.07330 3.14095 0.85 0.85 1 0 552 569 650 849 955 783 596 566  1 1 1 0.69 0 20 11.93 
0.1340 5.90 -1.90 0.7038 -0.1427 -3.6019 0.0062 -0.0002 -0.08127 -3.14127 0.86 0.86 1 0 582 560 641 830 952 772 575 548  1 1 1 0.68 0 20 11.92 
0.1360 5.79 -1.79 0.7130 -0.1626 -3.7258 0.0069 -0.0003 -0.08764 -3.14035 0.85 0.85 1 0 566 570 647 844 963 776 578 536  1 1 1 0.69 0 20 11.92 
0.1380 5.57 -1.57 0.7108 -0.1214 -3.5410 0.0075 -0.0004 -0.09561 -3.13953 0.82 0.82 1 0 574 579 661 849 942 770 579 591  1 1 1 0.69 0 20 11.94 
0.1400 5.70 -1.70 0.6960 -0.1161 -3.4559 0.0079 -0.0004 -0.10198 -3.13874 0.85 0.85 1 0 564 570 655 852 955 783 575 570  1 1 1 0.69 0 20 11.95 
0.1420 5.28 -1.28 0.7083 -0.1379 -3.6009 0.0086 -0.0005 -0.10836 -3.13778 0.78 0.78 1 0 578 581 662 852 960 754 571 561  1 1 1 0.69 0 20 11.95 
0.1440 5.27 -1.27 0.7180 -0.1198 -3.5649 0.0092 -0.0005 -0.11632 -3.13661 0.78 0.78 1 0 585 563 644 844 940 754 569 557  1 1 1 0.68 0 20 12.00 
0.1460 5.38 -1.38 0.7375 -0.1343 -3.7098 0.0097 -0.0006 -0.12429 -3.13542 0.81 0.81 1 0 570 550 646 845 942 765 551 546  1 1 1 0.68 0 20 11.99 
0.1480 5.92 -1.92 0.7455 -0.1568 -3.8396 0.0103 -0.0007 -0.13226 -3.13440 0.92 0.92 1 0 588 566 648 817 932 784 576 561  1 1 1 0.68 0 20 11.97 
0.1500 5.51 -1.51 0.7427 -0.1695 -3.8818 0.0108 -0.0008 -0.14022 -3.13382 0.85 0.85 1 0 585 576 663 834 934 772 571 561  1 1 1 0.69 0 20 11.99 
0.1520 5.02 -1.02 0.7533 -0.1791 -3.9675 0.0114 -0.0008 -0.14819 -3.13352 0.76 0.76 1 0 618 586 662 850 915 757 569 572  1 1 1 0.69 0 20 11.97 
0.1540 5.20 -1.20 0.7751 -0.1856 -4.0879 0.0119 -0.0009 -0.15616 -3.13290 0.80 0.80 1 0 605 593 663 852 930 768 555 566  1 1 1 0.69 0 20 11.99 
0.1560 4.89 -0.89 0.7753 -0.2002 -4.1513 0.0123 -0.0010 -0.16572 -3.13220 0.75 0.75 1 0 604 581 654 857 925 756 557 570  1 1 1 0.69 0 20 12.00 
0.1580 4.74 -0.74 0.7780 -0.2170 -4.2342 0.0129 -0.0011 -0.17369 -3.13171 0.73 0.73 1 0 591 574 656 848 918 744 562 561  1 1 1 0.68 0 20 12.00 
