%% starting
% Lead: tauZ 0.8 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 1.602, tauZ2mT = 1.598, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 11.3930 sec
% Demo behave:: state changed from 10 to 13 at 11.4950 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 11.4970 sec
% followed line in 4.301055 sec
% Demo behave:: state changed from 14 to 90 at 15.7990 sec
% Demo behave:: state changed from 90 to 99 at 16.5270 sec
% Demo behave:: state changed from 99 to 0 at 16.5290 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1404
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.02 V)
0.0540 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14035 1.64 1.64 1 0 605 586 607 709 918 933 748 568  1 1 1 0.71 0 20 12.00 
0.0560 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14032 1.65 1.65 1 0 615 585 603 711 903 930 745 574  1 1 1 0.71 0 20 12.01 
0.0580 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14029 1.61 1.61 1 0 619 591 597 716 906 931 743 589  1 1 1 0.71 0 20 11.99 
0.0600 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14026 1.57 1.57 1 0 616 586 594 712 918 929 730 587  1 1 1 0.71 0 20 12.01 
0.0620 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14025 1.60 1.60 1 0 605 585 602 711 921 939 736 585  1 1 1 0.71 0 20 12.01 
0.0640 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14023 1.56 1.56 1 0 607 580 602 713 918 935 727 587  1 1 1 0.71 0 20 12.00 
0.0660 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14022 1.62 1.62 1 0 605 585 601 708 915 925 744 598  1 1 1 0.71 0 20 12.00 
0.0680 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14022 1.66 1.66 1 0 605 588 595 707 910 924 752 593  1 1 1 0.71 0 20 12.00 
0.0700 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14022 1.63 1.63 1 0 594 589 589 701 901 920 740 585  1 1 1 0.70 0 20 12.00 
0.0720 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14023 1.64 1.64 1 0 615 594 591 703 911 926 747 585  1 1 1 0.71 0 20 12.00 
0.0740 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14024 1.61 1.61 1 0 611 594 603 712 918 933 743 606  1 1 1 0.72 0 20 12.00 
0.0760 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14024 1.66 1.66 1 0 616 593 598 712 892 920 748 627  1 1 1 0.71 0 20 12.00 
0.0780 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14025 1.69 1.69 1 0 615 580 579 709 918 953 761 591  1 1 1 0.71 0 20 12.00 
0.0800 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14024 1.64 1.64 1 0 630 595 579 703 911 946 743 585  1 1 1 0.71 0 20 12.00 
0.0820 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14022 1.63 1.63 1 0 610 595 590 699 903 946 734 585  1 1 1 0.71 0 20 12.01 
0.0840 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14020 1.67 1.67 1 0 611 595 595 709 906 939 751 566  1 1 1 0.71 0 20 12.01 
0.0860 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14018 1.68 1.68 1 0 610 586 590 704 901 929 756 561  1 1 1 0.71 0 20 12.01 
0.0880 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14017 1.65 1.65 1 0 618 579 579 713 903 933 750 602  1 1 1 0.71 0 20 12.00 
0.0900 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14017 1.63 1.63 1 0 608 591 583 709 914 928 744 606  1 1 1 0.71 0 20 12.00 
0.0920 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14016 1.65 1.65 1 0 616 591 588 704 913 924 751 600  1 1 1 0.71 0 20 12.00 
0.0940 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14015 1.68 1.68 1 0 619 594 597 692 903 931 756 583  1 1 1 0.71 0 20 12.00 
0.0960 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14015 1.69 1.69 1 0 626 594 597 711 896 935 756 600  1 1 1 0.71 0 20 12.00 
0.0980 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14016 1.70 1.70 1 0 648 584 582 684 892 930 758 612  1 1 1 0.71 0 20 12.00 
0.1000 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14017 1.66 1.66 1 0 624 571 590 701 902 933 748 606  1 1 1 0.71 0 20 12.00 
0.1020 2.00 2.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14017 1.66 1.66 1 0 624 586 590 695 893 919 745 606  1 1 1 0.71 0 20 12.00 
0.1040 2.00 2.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14019 1.69 1.69 1 0 623 571 589 709 903 946 755 627  1 1 1 0.72 0 20 11.97 
0.1060 9.17 -5.17 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14019 1.69 1.69 1 0 624 589 594 709 894 940 752 627  1 1 1 0.72 0 20 11.95 
0.1080 8.95 -4.95 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14017 1.66 1.66 1 0 611 580 590 699 880 921 738 619  1 1 1 0.71 0 20 11.69 
0.1100 8.74 -4.74 -0.0000 0.0000 0.0000 0.0002 -0.0000 -0.00159 3.14008 1.62 1.62 1 0 602 578 585 681 882 921 730 581  1 1 1 0.70 0 20 11.55 
0.1120 8.60 -4.60 -0.0000 0.0000 0.0000 0.0004 -0.0000 -0.00637 3.13997 1.61 1.61 1 0 604 580 588 679 898 934 729 602  1 1 1 0.70 0 20 11.49 
0.1140 8.43 -4.43 0.2080 0.0000 -0.8853 0.0006 -0.0000 -0.01115 3.14000 1.58 1.58 1 0 602 578 579 684 907 933 726 608  1 1 1 0.70 0 20 11.48 
0.1160 8.63 -4.63 0.5453 -0.1317 -2.8809 0.0009 -0.0000 -0.02071 3.13993 1.65 1.65 1 0 607 599 592 689 914 933 750 591  1 1 1 0.71 0 20 11.48 
0.1180 8.65 -4.65 0.6535 -0.1869 -3.5762 0.0013 -0.0000 -0.03028 3.14023 1.67 1.67 1 0 597 584 596 687 885 913 747 585  1 1 1 0.70 0 20 11.46 
0.1200 8.55 -4.55 0.7404 -0.4241 -4.9549 0.0015 -0.0000 -0.04143 3.14093 1.66 1.66 1 0 600 591 589 685 894 930 745 578  1 1 1 0.70 0 20 11.46 
0.1220 8.47 -4.47 0.7954 -0.4464 -5.2842 0.0019 -0.0000 -0.05099 3.14149 1.66 1.66 1 0 597 580 590 692 903 934 748 585  1 1 1 0.70 0 20 11.46 
0.1240 8.35 -4.35 0.8162 -0.4500 -5.3883 0.0022 -0.0001 -0.06055 -3.14119 1.65 1.65 1 0 605 583 596 700 905 926 747 568  1 1 1 0.70 0 20 11.49 
0.1260 8.34 -4.34 0.8487 -0.4475 -5.5156 0.0026 -0.0001 -0.07330 -3.14045 1.66 1.66 1 0 608 586 590 707 909 938 750 574  1 1 1 0.71 0 20 11.52 
0.1280 7.89 -3.89 0.8819 -0.4428 -5.6370 0.0032 -0.0001 -0.08445 -3.13952 1.57 1.57 1 0 582 601 589 715 905 910 733 576  1 1 1 0.70 0 20 11.55 
0.1300 7.91 -3.91 0.9316 -0.4358 -5.8185 0.0037 -0.0002 -0.09561 -3.13859 1.59 1.59 1 0 597 591 575 700 894 922 724 572  1 1 1 0.70 0 20 11.62 
