dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.0123,-0.013184,-0.001953,1.306152,-0.396423,0.078796,0.100861,0.0,0.0,0.0,0.026806729789624895,-0.018409359121056842,0.0012357271461166668,0.514,0.135,-0.7152
0.0122,-0.015381,0.000488,1.305908,0.030823,-0.195862,0.100861,0.0,0.0,0.0,0.07108491500840633,-0.012858903134634198,0.0024498234389107093,0.514,0.135,-0.7152
0.0119,-0.014893,0.0,1.303955,-0.121765,-0.073792,0.406036,0.0,0.0,0.0,0.09741151472468823,-0.011841859013237942,0.007273666233625737,0.514,0.135,-0.7152
0.0111,-0.013428,-0.000488,1.303223,-0.091248,0.200867,0.406036,0.0,0.0,0.0,0.11397619355016633,-0.018765337258046452,0.011784172795387026,0.514,0.135,-0.7152
0.0123,-0.014648,0.0,1.298828,0.030823,-0.226379,0.100861,0.0,0.0,0.0,0.1311546807530998,-0.020741428406373157,0.01301128283015808,0.514,0.135,-0.7152
0.0121,-0.018555,-0.002441,1.307617,0.091858,-0.195862,0.283966,0.0,0.0,0.0,0.1317239909767665,-0.0002842376994831756,0.016424340720466116,0.514,0.135,-0.7152
0.0121,-0.016357,0.000244,1.304688,-0.213318,0.078796,0.222931,0.0,0.0,0.0,0.14271118175679487,0.008064409948301609,0.019122478507113315,0.514,0.135,-0.7152
0.0123,-0.014893,-0.00293,1.303467,-0.243835,-0.165344,0.222931,0.0,0.0,0.0,0.13637229741880047,0.005487994315002441,0.021858549507806867,0.514,0.135,-0.7152
0.0122,-0.014893,-0.000488,1.300049,0.000305,-0.104309,0.345001,0.0,0.0,0.0,0.1442103754700402,0.003850405182189625,0.02606799818611874,0.514,0.135,-0.7152
0.0114,-0.016357,-0.000244,1.299561,-0.152283,-0.104309,0.222931,0.0,0.0,0.0,0.15031371502321408,0.008368814587247853,0.02860367399010552,0.514,0.135,-0.7152
0.0121,-0.015869,0.0,1.305908,0.183411,0.139832,-0.051727,0.0,0.0,0.0,0.16002140321814667,0.013039494794521302,0.027983459596875496,0.514,0.135,-0.7152
0.0121,-0.016113,0.000977,1.312744,-0.243835,0.139832,0.375519,0.0,0.0,0.0,0.1671666432649426,0.01806104884211582,0.032535326436231166,0.514,0.135,-0.7152
0.0124,-0.019287,-0.00293,1.308594,0.06134,0.048279,0.253448,0.0,0.0,0.0,0.16386098459119042,0.032138852393063376,0.03565316122680704,0.0,0.0,0.0
0.0122,-0.017578,-0.003418,1.307373,0.152893,-0.043274,0.314484,0.0,0.0,0.0,0.16047366944641292,0.038261360928906155,0.0394697006787489,0.0,0.0,0.0
