dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.012,0.009277,-0.009033,1.312744,0.366516,0.078796,0.100861,0.0,0.0,0.0,-0.044664135594862084,-0.2681162866185714,0.0013247575889490553,0.003,0.0,0.0291
0.0119,0.014648,-0.009766,1.301514,0.610657,0.353455,0.253448,0.0,0.0,0.0,-0.07861916894539729,-0.4966646418137314,0.004610585855179964,0.003,0.0,0.0291
0.013,0.01123,-0.006836,1.312988,0.458069,0.200867,-0.112762,0.0,0.0,0.0,-0.07931570793106943,-0.6317688849223377,0.0031780620553129627,0.003,0.0,0.0291
0.0111,0.011719,-0.004883,1.303955,0.397034,0.139832,0.192413,0.0,0.0,0.0,-0.06687170384053875,-0.7385369200987,0.005160101856773704,0.003,0.0,0.0291
0.0121,0.012695,-0.013672,1.306641,0.458069,0.017761,0.070343,0.0,0.0,0.0,-0.11048043412114925,-0.8284419939850898,0.0068276554166679946,0.003,0.0,0.0291
0.0121,0.018555,-0.009277,1.300781,0.519104,0.53656,0.009308,0.0,0.0,0.0,-0.11960926323094585,-0.9285170592914469,0.0071470537994461954,0.003,0.0,0.0291
0.0111,0.011719,-0.00708,1.311035,0.580139,0.261902,0.192413,0.0,0.0,0.0,-0.11503125571377598,-0.9769989595669158,0.009267291625668736,0.003,0.0,0.0291
0.0122,0.01123,-0.006592,1.31958,0.335999,0.231384,0.161896,0.0,0.0,0.0,-0.11049023620605387,-1.0142026806356434,0.011185160903637035,0.003,0.0,0.0291
0.0123,0.015381,-0.010742,1.300293,0.641174,0.261902,0.070343,0.0,0.0,0.0,-0.12102007789989921,-1.0648597662153936,0.012456500011443373,0.003,0.0,0.0291
0.012,0.009766,-0.002686,1.318115,0.702209,0.261902,0.131378,0.0,0.0,0.0,-0.09649899872092185,-1.084095101429821,0.013561433877242358,0.003,0.0,0.0291
0.0119,0.008545,-0.005371,1.308838,0.610657,0.41449,0.131378,0.0,0.0,0.0,-0.0858021593008298,-1.0949682492711121,0.015005306211016648,0.003,0.0,0.0291
0.0116,0.007568,-0.008789,1.306152,0.122375,0.078796,0.131378,0.0,0.0,0.0,-0.09356017414759805,-1.1046692928167021,0.01677698878267557,0.003,0.0,0.0291
0.0121,0.010498,-0.010986,1.316162,0.244446,0.017761,-0.112762,0.0,0.0,0.0,-0.10599191916095156,-1.1229565914208752,0.01583411700917033,0.003,0.0,0.0291
0.012,0.008545,-0.006592,1.305176,0.427551,0.200867,0.009308,0.0,0.0,0.0,-0.10117583136137495,-1.1316548724985445,0.015933013179972432,0.003,0.0,0.0291
0.0121,0.009277,-0.017822,1.302979,0.366516,0.383972,0.039825,0.0,0.0,0.0,-0.1309241380848082,-1.1395103202402057,0.017409970479488893,0.003,0.0,0.0291
0.0125,0.011963,-0.010742,1.301025,0.488586,0.231384,0.314484,0.0,0.0,0.0,-0.13582747730666084,-1.155787468024548,0.021617522624169182,0.003,0.0,0.0291
0.0122,0.010498,-0.002686,1.317383,0.580139,0.078796,0.039825,0.0,0.0,0.0,-0.11712731219370538,-1.167396345955303,0.021697098416604544,0.003,0.0,0.0291
0.0111,0.009277,-0.003906,1.320557,0.335999,-0.012756,0.100861,0.0,0.0,0.0,-0.10615220131420812,-1.1756782608908631,0.02256274438563133,0.003,0.0,0.0291
0.0121,0.012695,-0.011475,1.299316,0.213928,0.048279,0.283966,0.0,0.0,0.0,-0.11597264683496283,-1.1920520487867599,0.02636009534980072,0.003,0.0,0.0291
0.0127,0.010742,-0.009521,1.304199,0.458069,0.231384,0.222931,0.0,0.0,0.0,-0.11705430119549054,-1.1998942692526895,0.029383858973462657,0.003,0.0,0.0291
0.0121,0.006592,-0.005127,1.312744,0.427551,0.322937,0.009308,0.0,0.0,0.0,-0.10829178824191898,-1.196232309504094,0.02936637749757742,0.003,0.0,0.0291
0.012,0.018066,-0.010254,1.312744,0.610657,-0.073792,0.009308,0.0,0.0,0.0,-0.10920616882842551,-1.2225091335893024,0.029685235639341865,0.003,0.0,0.0291
0.0113,0.015137,-0.010742,1.302979,0.702209,0.261902,0.100861,0.0,0.0,0.0,-0.11036166367784361,-1.2374602806507968,0.03108223688311955,0.0,0.0,0.0
0.0121,0.012695,-0.000732,1.305908,0.458069,0.231384,-0.051727,0.0,0.0,0.0,-0.09279361097826666,-1.246253608559309,0.029967787661189196,0.0,0.0,0.0
0.0123,0.007324,-0.001953,1.316162,0.580139,0.322937,0.070343,0.0,0.0,0.0,-0.07720751980923193,-1.2421889380065274,0.030512620065545528,0.0,0.0,0.0
0.012,0.007324,-0.007568,1.312744,0.549622,0.383972,0.039825,0.0,0.0,0.0,-0.07370551395389247,-1.2377645591114246,0.031098349660691672,0.0,0.0,0.0
0.0121,0.012451,-0.00708,1.311523,0.458069,0.200867,-0.204315,0.0,0.0,0.0,-0.07027773280375067,-1.245175835376792,0.028674800562741465,0.0,0.0,0.0
0.0119,0.008789,-0.006104,1.310303,0.335999,0.322937,0.192413,0.0,0.0,0.0,-0.06672805064920008,-1.2441079103739319,0.03096723286272951,0.0,0.0,0.0
0.0116,0.007568,-0.008057,1.305908,0.549622,0.017761,0.222931,0.0,0.0,0.0,-0.06443990395511102,-1.2445037431217283,0.033703881364951456,0.0,0.0,0.0
0.0124,0.012695,-0.015137,1.293945,0.488586,0.170349,-0.14328,0.0,0.0,0.0,-0.07465758492878492,-1.252266268103596,0.03250875329797379,0.0,0.0,0.0
0.0122,0.011963,-0.003662,1.310059,0.549622,0.292419,0.039825,0.0,0.0,0.0,-0.06420839386591796,-1.2563319290975332,0.0328138341677822,0.0,0.0,0.0
0.0121,0.007324,-0.010986,1.316895,0.427551,0.353455,0.009308,0.0,0.0,0.0,-0.0674917820016442,-1.251677944905575,0.03325164525332666,0.0,0.0,0.0
