dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.285833,0,0,0,-0.030212,0.048279,-0.02121,0.0,0.0,0.0,4.121278434533596,-12.847849541016435,-0.470761649883335,1.134,-0.302,-2.1708
0.0116,-0.011963,-0.009277,1.311035,-0.243835,-0.134827,0.070343,0.0,0.0,0.0,3.272160870546798,-10.461580927978064,-0.29706690810685005,1.134,-0.302,-2.1708
0.0122,-0.013428,-0.004639,1.311523,-0.1828,0.017761,0.192413,0.0,0.0,0.0,2.744545855637216,-8.823096025805976,-0.20637076122465114,1.134,-0.302,-2.1708
0.0114,-0.015381,-0.01001,1.301758,-0.121765,-0.012756,0.131378,0.0,0.0,0.0,2.3226749508425195,-7.618855824083386,-0.14418961898797286,1.134,-0.302,-2.1708
0.0122,-0.012207,-0.007812,1.3125,-0.030212,-0.043274,0.070343,0.0,0.0,0.0,2.0197346019816047,-6.724519615099436,-0.10511102070466279,1.134,-0.302,-2.1708
0.0127,-0.015381,-0.007812,1.306152,0.213928,0.170349,0.222931,0.0,0.0,0.0,1.784798973373366,-5.999756026071797,-0.07540941442588348,1.134,-0.302,-2.1708
0.0113,-0.013184,-0.006348,1.309082,-0.152283,-0.043274,0.009308,0.0,0.0,0.0,1.600234007265559,-5.428562364377057,-0.05660911076190076,1.134,-0.302,-2.1708
0.0122,-0.01123,-0.005615,1.321777,0.122375,-0.073792,0.100861,0.0,0.0,0.0,1.454712118294132,-4.967488589228399,-0.04165997111523497,1.134,-0.302,-2.1708
0.0136,-0.011963,-0.008301,1.306396,-0.152283,0.078796,0.009308,0.0,0.0,0.0,1.3172082281157496,-4.57573742440506,-0.03043305548830644,1.134,-0.302,-2.1708
0.0102,-0.013916,-0.01001,1.307129,0.06134,0.139832,0.192413,0.0,0.0,0.0,1.1952962537530416,-4.233879763959237,-0.01946008961333997,1.134,-0.302,-2.1708
0.0127,-0.011475,-0.008057,1.304688,0.06134,-0.073792,0.283966,0.0,0.0,0.0,1.0981917207506449,-3.9510762836289515,-0.00896335140263565,1.134,-0.302,-2.1708
0.0111,-0.013916,-0.005615,1.307861,-0.091248,0.109314,0.192413,0.0,0.0,0.0,1.0213805844832569,-3.693910574086585,-0.0008916360809000967,1.134,-0.302,-2.1708
0.0202,-0.018311,-0.00708,1.308838,0.030823,-0.134827,0.375519,0.0,0.0,0.0,0.9497956538301953,-3.4558223162283817,0.011893016150842022,1.134,-0.302,-2.1708
0.0042,-0.013916,-0.006836,1.308594,-0.091248,-0.165344,0.253448,0.0,0.0,0.0,0.8867812375525328,-3.2579044284147813,0.0169192430109829,0.0,0.0,0.0
0.0123,-0.013428,-0.005127,1.310547,-0.152283,-0.165344,0.192413,0.0,0.0,0.0,0.8344638271181738,-3.0842338547748445,0.022806125154530607,0.0,0.0,0.0
0.0113,-0.011963,-0.010742,1.303223,0.000305,0.017761,0.222931,0.0,0.0,0.0,0.7724647842329432,-2.930829818902383,0.02734663759560047,0.0,0.0,0.0
0.0123,-0.014648,-0.01001,1.308838,-0.091248,-0.043274,0.161896,0.0,0.0,0.0,0.7176544148669305,-2.7854906055238446,0.031426974409127395,0.0,0.0,0.0
0.0145,-0.01123,-0.005371,1.310791,0.213928,0.139832,0.192413,0.0,0.0,0.0,0.6843537357928202,-2.6602604131952488,0.03653657396606757,0.0,0.0,0.0
0.0092,-0.010254,-0.008301,1.310791,-0.152283,0.261902,0.070343,0.0,0.0,0.0,0.6424322842059141,-2.5483022461574887,0.03853859205173964,0.0,0.0,0.0
0.0123,-0.015625,-0.007568,1.305908,0.06134,0.139832,0.070343,0.0,0.0,0.0,0.6078779247762695,-2.433216924222315,0.0412764386135155,0.0,0.0,0.0
0.0124,-0.011963,-0.004883,1.30957,0.06134,0.078796,0.558624,0.0,0.0,0.0,0.5823045281195178,-2.336830732790919,0.050060163921026544,0.0,0.0,0.0
0.0127,-0.012939,-0.004883,1.309326,-0.091248,-0.226379,0.283966,0.0,0.0,0.0,0.5570478893781274,-2.2493695842741728,0.05540792947872298,0.0,0.0,0.0
0.0111,-0.01123,-0.006836,1.306396,-0.030212,-0.073792,0.253448,0.0,0.0,0.0,0.5301671671813392,-2.1704067378616583,0.059186373206493365,0.0,0.0,0.0
0.0124,-0.014648,-0.003906,1.307373,-0.213318,0.078796,0.467072,0.0,0.0,0.0,0.5091312099175542,-2.0882226867379017,0.06690993913802602,0.0,0.0,0.0
0.0112,-0.01001,-0.009033,1.308838,-0.152283,-0.195862,0.283966,0.0,0.0,0.0,0.4799459475509465,-2.0242938707189957,0.07014266631286248,0.0,0.0,0.0
0.0128,-0.016113,-0.007324,1.311768,0.122375,-0.195862,0.131378,0.0,0.0,0.0,0.45929509948722347,-1.9529331266638423,0.07287325568977589,0.0,0.0,0.0
0.0111,-0.010498,-0.003418,1.308105,0.091858,-0.073792,0.283966,0.0,0.0,0.0,0.4469619718748611,-1.8954598478520206,0.07738408924930937,0.0,0.0,0.0
0.0125,-0.014404,-0.01001,1.30957,-0.304871,-0.104309,0.131378,0.0,0.0,0.0,0.4185191346065468,-1.8348160866633159,0.07905930775775946,0.0,0.0,0.0
0.0121,-0.013916,-0.009521,1.309082,0.000305,0.048279,0.070343,0.0,0.0,0.0,0.39630062922939713,-1.7769507067287351,0.08000499707891118,0.0,0.0,0.0
0.0115,-0.013916,-0.005615,1.314453,-0.274353,-0.043274,0.253448,0.0,0.0,0.0,0.3791672414205949,-1.7235507155906,0.0839758192472562,0.0,0.0,0.0
0.0121,-0.010986,-0.008057,1.316895,0.030823,-0.073792,0.253448,0.0,0.0,0.0,0.3621849353934793,-1.6785829958755687,0.08712952076217943,0.0,0.0,0.0
0.0127,-0.015381,-0.005615,1.308594,0.152893,-0.073792,0.009308,0.0,0.0,0.0,0.3518085122486073,-1.6288665345642963,0.0883402023721222,0.0,0.0,0.0
0.0111,-0.011475,-0.009766,1.306641,0.152893,-0.317932,0.039825,0.0,0.0,0.0,0.33503006423494336,-1.5907591609339873,0.08836693161966833,0.0,0.0,0.0
0.0146,-0.011475,-0.006104,1.306396,0.000305,-0.165344,0.314484,0.0,0.0,0.0,0.3232198281890762,-1.553608579455972,0.09348787989234537,0.0,0.0,0.0
0.0098,-0.010498,-0.009521,1.309082,0.091858,-0.134827,0.222931,0.0,0.0,0.0,0.3076717688799456,-1.518893555629546,0.0952260925805616,0.0,0.0,0.0
0.0117,-0.013428,-0.005127,1.309082,-0.06073,-0.134827,0.283966,0.0,0.0,0.0,0.29798189857471163,-1.4817709266375398,0.09949070055410353,0.0,0.0,0.0
0.0121,-0.011719,-0.011963,1.308105,-0.06073,-0.165344,0.375519,0.0,0.0,0.0,0.2785645896076326,-1.4494346284144575,0.10307218159419161,0.0,0.0,0.0
0.0158,-0.009033,-0.007324,1.309326,-0.121765,-0.195862,0.161896,0.0,0.0,0.0,0.2656325845833508,-1.4235132771797596,0.1056161047529569,0.0,0.0,0.0
0.0087,-0.008301,-0.008057,1.309326,-0.1828,0.170349,0.100861,0.0,0.0,0.0,0.25260442104934344,-1.3954789723229977,0.10625372220809087,0.0,0.0,0.0
0.0122,-0.012695,-0.005127,1.30957,-0.152283,-0.317932,0.253448,0.0,0.0,0.0,0.2438947796965119,-1.3678162291835807,0.11021925344090377,0.0,0.0,0.0
