dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.0149,-0.01416,-0.010498,1.30957,0.152893,0.048279,0.314484,0.0,0.0,0.0,-0.06284115512626764,-0.007677156914045803,0.0046897798799198165,0.568,0.249,1.9267
0.0093,-0.011963,-0.01123,1.307861,-0.274353,-0.043274,0.314484,0.0,0.0,0.0,-0.11538316397633736,-0.034101044910185105,0.007630567249355844,0.568,0.249,1.9267
0.0123,-0.013428,-0.011475,1.310059,-0.152283,0.292419,0.070343,0.0,0.0,0.0,-0.15463869472076833,-0.037908650729571634,0.008513044147902937,0.568,0.249,1.9267
0.012,-0.01416,-0.011475,1.310059,-0.091248,0.017761,0.345001,0.0,0.0,0.0,-0.183679861793038,-0.03815742512728652,0.012675671509438132,0.568,0.249,1.9267
0.0117,-0.012695,-0.008301,1.307617,-0.121765,0.109314,0.314484,0.0,0.0,0.0,-0.18700588290777437,-0.04651801428610626,0.016344608967639996,0.568,0.249,1.9267
0.0121,-0.013916,-0.01001,1.305908,-0.213318,-0.073792,0.009308,0.0,0.0,0.0,-0.20048503793894762,-0.04820228836877601,0.016471707392061958,0.568,0.249,1.9267
0.0124,-0.013184,-0.007812,1.305664,0.06134,-0.043274,0.283966,0.0,0.0,0.0,-0.19747884808991825,-0.05307456282849615,0.019987720907142743,0.568,0.249,1.9267
0.0123,-0.011963,-0.004639,1.307861,0.091858,0.109314,0.039825,0.0,0.0,0.0,-0.1796674633659111,-0.06117865007326991,0.020441337016926974,0.568,0.249,1.9267
0.0112,-0.01416,-0.011475,1.306885,0.152893,-0.226379,0.345001,0.0,0.0,0.0,-0.19359775791277167,-0.061995121115331196,0.0243397632608335,0.568,0.249,1.9267
0.0122,-0.013184,-0.008057,1.307373,-0.06073,-0.043274,0.406036,0.0,0.0,0.0,-0.1939284514180715,-0.06493580812661996,0.02929211817125898,0.568,0.249,1.9267
