dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
1.323207,0,0,0,-0.030212,0.078796,-0.051727,0.0,0.0,0.0,11.422448667000689,-32.137927153405876,-3.370779354846212,1.456,-0.357,-2.0967
0.0115,-0.01001,-0.009766,1.309082,0.06134,-0.226379,0.131378,0.0,0.0,0.0,6.790657870891332,-21.010021618163687,-1.2290646381329202,1.456,-0.357,-2.0967
0.0115,-0.008301,-0.01001,1.310303,-0.1828,-0.043274,0.314484,0.0,0.0,0.0,4.8949444877246195,-15.850881655193474,-0.600445402604918,1.456,-0.357,-2.0967
0.0121,-0.011963,-0.011475,1.308838,0.000305,0.078796,-0.02121,0.0,0.0,0.0,3.8046928801613884,-12.74253295704686,-0.3157511117735244,1.456,-0.357,-2.0967
0.0134,-0.006104,-0.00708,1.302246,-0.06073,-0.134827,0.345001,0.0,0.0,0.0,3.135297981329401,-10.720786427817757,-0.1592232170973289,1.456,-0.357,-2.0967
0.0111,-0.009766,-0.013916,1.305176,0.091858,-0.165344,0.222931,0.0,0.0,0.0,2.6039579679154174,-9.24416069871579,-0.07032575460104691,1.456,-0.357,-2.0967
0.0116,-0.01001,-0.01123,1.310547,0.030823,0.017761,0.100861,0.0,0.0,0.0,2.2284455662161977,-8.127819870808933,-0.006036663049915863,1.456,-0.357,-2.0967
0.0123,-0.010742,-0.011475,1.311279,-0.091248,-0.195862,0.222931,0.0,0.0,0.0,1.934145948509596,-7.254221639393899,0.041037902899480866,1.456,-0.357,-2.0967
0.0226,-0.00708,-0.011963,1.310547,-0.121765,0.017761,0.375519,0.0,0.0,0.0,1.6927550064666708,-6.570280410764309,0.07613007619281564,1.456,-0.357,-2.0967
0.0015,-0.007812,-0.010498,1.306641,-0.091248,0.139832,0.314484,0.0,0.0,0.0,1.506875660439587,-6.006144573428866,0.10192035825982212,1.456,-0.357,-2.0967
0.012,-0.011963,-0.01001,1.302246,-0.213318,-0.226379,0.100861,0.0,0.0,0.0,1.35265868943704,-5.518185856570014,0.12968060751433344,1.456,-0.357,-2.0967
0.0115,-0.010986,-0.010742,1.308838,0.000305,0.109314,0.222931,0.0,0.0,0.0,1.220739929404568,-5.105584425081906,0.14999519435542946,1.456,-0.357,-2.0967
0.0164,-0.009766,-0.01123,1.306641,0.000305,0.139832,0.406036,0.0,0.0,0.0,1.1048854003763149,-4.755161442814764,0.16786909329647623,1.456,-0.357,-2.0967
0.0075,-0.009521,-0.010986,1.307617,-0.091248,-0.226379,0.314484,0.0,0.0,0.0,1.0052950897763853,-4.4558187152852256,0.179920059226939,1.456,-0.357,-2.0967
0.0128,-0.008545,-0.008545,1.304443,0.152893,0.017761,0.039825,0.0,0.0,0.0,0.9299078193381137,-4.195218400197896,0.19524441228404557,1.456,-0.357,-2.0967
0.0118,-0.009766,-0.010254,1.308594,-0.1828,0.078796,-0.051727,0.0,0.0,0.0,0.8536558011762294,-3.9603753741952783,0.2032780252067063,0.0,0.0,0.0
0.0125,-0.008057,-0.01001,1.305664,-0.304871,-0.012756,0.192413,0.0,0.0,0.0,0.7846555405618433,-3.7579593283593407,0.21208275098814347,0.0,0.0,0.0
0.0113,-0.010742,-0.013184,1.306152,0.06134,-0.043274,0.192413,0.0,0.0,0.0,0.7169453394885427,-3.5691392392129124,0.21264658951660573,0.0,0.0,0.0
0.0119,-0.014404,-0.008057,1.306885,0.000305,-0.012756,0.192413,0.0,0.0,0.0,0.6713695958544571,-3.387882016085291,0.2334179656258104,0.0,0.0,0.0
0.0119,-0.01123,-0.010254,1.310791,-0.243835,-0.012756,0.070343,0.0,0.0,0.0,0.6208182202676235,-3.232649613221183,0.24071189538545482,0.0,0.0,0.0
0.0131,-0.00708,-0.010254,1.310303,-0.091248,-0.104309,0.161896,0.0,0.0,0.0,0.5760191262557747,-3.103494022183329,0.24432778932999666,0.0,0.0,0.0
0.0108,-0.008301,-0.008545,1.305908,0.091858,0.231384,0.283966,0.0,0.0,0.0,0.541690534264082,-2.978824596000552,0.25486406489967184,0.0,0.0,0.0
0.0123,-0.011719,-0.01123,1.305664,-0.030212,-0.043274,0.070343,0.0,0.0,0.0,0.502318233809034,-2.8590871150883057,0.25798981235903523,0.0,0.0,0.0
0.0126,-0.009766,-0.00708,1.301025,-0.030212,-0.043274,0.253448,0.0,0.0,0.0,0.4760515835311857,-2.753309872659029,0.2731820274009466,0.0,0.0,0.0
0.012,-0.010986,-0.009277,1.312744,0.244446,0.078796,0.436554,0.0,0.0,0.0,0.44974797874933226,-2.651493931932485,0.28427884221694455,0.0,0.0,0.0
0.0117,-0.011475,-0.012207,1.310547,-0.1828,0.048279,-0.082245,0.0,0.0,0.0,0.41421080299558966,-2.5565409706177173,0.28107767652029103,0.0,0.0,0.0
0.0122,-0.009277,-0.01123,1.307861,0.030823,0.048279,0.283966,0.0,0.0,0.0,0.38539404904665947,-2.4728750139534346,0.2830416758377841,0.0,0.0,0.0
0.0117,-0.011475,-0.009766,1.306152,0.091858,0.109314,0.009308,0.0,0.0,0.0,0.36257267558609463,-2.3897378785709145,0.2875139576419087,0.0,0.0,0.0
0.0117,-0.009521,-0.007812,1.307861,-0.030212,-0.012756,0.222931,0.0,0.0,0.0,0.34377753395232374,-2.317219616085506,0.2975767617326351,0.0,0.0,0.0
0.0118,-0.013428,-0.009521,1.304443,0.06134,0.048279,0.283966,0.0,0.0,0.0,0.323868333968149,-2.2412942380415872,0.30667542402918835,0.0,0.0,0.0
0.0125,-0.012939,-0.009277,1.307861,-0.152283,0.139832,0.222931,0.0,0.0,0.0,0.3031577667714693,-2.1697759104254306,0.31508793443991184,0.0,0.0,0.0
0.0141,-0.012207,-0.01416,1.310303,-0.94574,1.482605,0.924835,0.0,0.0,0.0,0.2629824130680129,-2.085358872460069,0.32100259606662057,0.0,0.0,0.0
0.0103,-0.004395,-0.012207,1.20752,-1.464539,-9.839417,1.840363,0.0,0.0,0.0,0.2251467050124577,-2.138977621550274,0.3310972182695691,0.0,0.0,0.0
0.011,-0.137939,0.010254,1.476807,0.152893,-1.35553,-1.516571,0.0,0.0,0.0,0.24834053311013451,-1.9048787562632008,0.45309101970598786,0.0,0.0,0.0
0.0126,-0.0896,0.052979,1.233887,3.509827,-0.684143,-5.972137,0.0,0.0,0.0,0.3953287004888825,-1.7252081386116653,0.6016170017950135,0.0,0.0,0.0
0.012,0.019287,0.003662,1.414795,-0.304871,2.367615,-0.753632,0.0,0.0,0.0,0.3931738466128852,-1.6989324228684985,0.5937569788364832,-0.0,-0.0,0.0
0.0128,0.13208,-0.136475,1.284424,-1.434021,5.022644,3.061066,0.0,0.0,0.0,0.14260872972872862,-1.825560834878189,0.21732217433412496,-0.001,-0.0,0.0
0.0107,0.056396,-0.026611,1.268311,-1.311951,3.161072,6.723175,0.0,0.0,0.0,0.0854373478956209,-1.8564711683055515,0.2008576795052416,-0.001,-0.0,0.0016
0.0122,0.009521,-0.013184,1.358887,0.335999,-0.287415,7.364044,0.0,0.0,0.0,0.07167576510406994,-1.8458068332251616,0.2773163720081128,-0.001,-0.0,0.0032
0.0118,0.057373,0.021973,1.21167,0.915833,0.628113,6.234894,0.0,0.0,0.0,0.12070009374780369,-1.9044184845799392,0.3738054704897761,-0.001,-0.0,0.0032
0.0136,0.024414,0.000732,1.404785,-0.213318,0.109314,5.044708,4.757256557819853e-05,3.1376998498003324e-07,1.584978024535196e-06,0.11993692876853117,-1.9069014371613577,0.44655246076619487,-0.001,0.0,0.0049
0.0175,-0.090088,-0.009277,1.245605,0.183411,-0.562073,2.298126,0.00010879573082597564,9.149572899855291e-07,3.325347093104191e-06,0.11405297986213356,-1.7569520462259887,0.5517527480456735,-0.001,0.0,0.0049
0.006,-0.037109,0.005127,1.32373,-0.121765,2.825378,0.009308,0.00012978928651382032,1.2342401208720389e-06,3.8056048028475495e-06,0.12549164559377782,-1.6664697361334553,0.6034002878092415,-0.001,0.0,0.0049
0.0112,-0.060547,0.008545,1.313232,-0.365906,-0.958801,-0.631561,0.00016897815959765228,1.8582831674163208e-06,4.64924169092154e-06,0.1386557881092242,-1.574773371321124,0.667743595512249,-0.001,0.0,0.0049
0.0119,-0.063721,0.029053,1.26001,0.183411,0.994324,-0.784149,0.00021061739907585794,2.7662893885654086e-06,5.415539878033392e-06,0.18756284128524575,-1.457970160517295,0.7732884692301986,-0.001,0.0,0.0049
0.0126,-0.020264,0.029297,1.351807,-0.091248,-1.202942,-0.14328,0.00025470105199511256,3.710601952283196e-06,6.356348591205937e-06,0.2272257915239869,-1.431575046300664,0.8500083563036702,-0.001,0.0,0.0049
0.0118,-0.027832,-0.021484,1.271484,-0.426941,-0.745178,-0.845184,0.0002959921415958833,4.210610297549994e-06,7.138827425789473e-06,0.19471023523756956,-1.3906456692069862,0.8179892347479548,-0.001,0.0,0.0049
0.0116,-0.022705,-0.02002,1.318115,-0.671082,0.200867,-1.241913,0.00033658395642202827,4.676409875487865e-06,7.892444587379945e-06,0.1634772457176285,-1.3475920866086188,0.7840302223921294,-0.001,0.0,0.0049
0.0122,-0.041504,-0.006104,1.29541,-0.579529,-0.623108,-0.631561,0.0003792780560237417,5.391136287190966e-06,8.491421307777987e-06,0.15197765138190694,-1.2920162635662518,0.7957832618761729,-0.001,0.0,0.0049
0.0119,-0.01123,-0.029785,1.275879,-0.304871,0.445007,0.192413,0.00042092178996287505,5.633927935026377e-06,9.26835648399515e-06,0.11264754202105867,-1.2637848202225535,0.7522148059052867,-0.001,0.0,0.0049
0.0122,0.04541,0.003418,1.303223,0.122375,-0.195862,1.596222,0.00046359903538453306,6.121442800549407e-06,1.0564238926534965e-05,0.12075073464194616,-1.3116206797209748,0.7628762500078496,-0.001,0.0,0.0049
0.0124,0.039795,-0.042725,1.295654,0.82428,1.513123,2.511749,0.0005069849115109749,5.873087366767628e-06,1.188648199907391e-05,0.08010627165854797,-1.3314398144259183,0.7007519844834759,-0.001,0.0,0.0049
