dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.249051,0,0,0,0.305481,-0.104309,0.039825,0.0,0.0,0.0,4.049226455318749,-12.41361907341577,-0.42326041836704614,0.005,-0.0,-0.0874
0.0114,-0.010742,-0.004639,1.318115,0.610657,0.322937,-0.14328,0.0,0.0,0.0,3.2973496945494576,-10.184390433381047,-0.2750551885909984,0.005,-0.0,-0.0874
0.012,-0.008057,-0.003662,1.311523,0.366516,0.322937,0.070343,0.0,0.0,0.0,2.793373507604678,-8.671966060208332,-0.19015030196911886,0.005,-0.0,-0.0874
0.0126,-0.007324,-0.00708,1.319092,0.397034,0.353455,0.283966,0.0,0.0,0.0,2.401774186060525,-7.5689845029991485,-0.12971571267964707,0.005,-0.0,-0.0874
0.0111,-0.005615,-0.003418,1.305664,0.458069,0.292419,-0.234833,0.0,0.0,0.0,2.129779363200712,-6.73739866036858,-0.09710695527532864,0.005,-0.0,-0.0874
0.0124,-0.011475,-0.003174,1.318359,0.397034,0.261902,0.161896,0.0,0.0,0.0,1.9170287210344779,-6.045368848152515,-0.07013676233689846,0.005,-0.0,-0.0874
0.0123,-0.01416,-0.009521,1.311523,0.397034,0.292419,-0.02121,0.0,0.0,0.0,1.7112921140886184,-5.469870490044976,-0.04935628875650719,0.005,-0.0,-0.0874
0.012,-0.012451,-0.009033,1.332764,0.580139,-0.165344,-0.112762,0.0,0.0,0.0,1.5466564537961422,-5.006746834602769,-0.03527971478399739,0.005,-0.0,-0.0874
0.012,-0.003418,-0.007324,1.291992,0.458069,0.53656,0.070343,0.0,0.0,0.0,1.4146065014023248,-4.651215974367916,-0.023209731607379224,0.005,-0.0,-0.0874
0.0122,-0.014404,-0.004395,1.32959,0.519104,-0.195862,-0.02121,0.0,0.0,0.0,1.3160670081532302,-4.309125063474111,-0.014272266689863956,0.005,-0.0,-0.0874
0.0115,-0.011475,-0.006836,1.306641,0.580139,0.475525,0.100861,0.0,0.0,0.0,1.2220925066180748,-4.018305619366223,-0.005635031267672034,0.005,-0.0,-0.0874
0.0125,-0.006104,-0.008057,1.318604,0.427551,0.231384,0.253448,0.0,0.0,0.0,1.134826915429473,-3.786169250245629,0.003139067991878276,0.005,-0.0,-0.0874
0.0113,-0.001465,0.002441,1.312744,0.488586,0.475525,0.375519,0.0,0.0,0.0,1.0947322656641367,-3.5954171866435547,0.011999260338226354,0.005,-0.0,-0.0874
0.0121,-0.013428,-0.012207,1.325439,0.397034,0.353455,-0.02121,0.0,0.0,0.0,1.011651111917691,-3.388421423391715,0.015809518031345917,0.005,-0.0,-0.0874
0.0119,-0.019287,-0.00415,1.307861,0.366516,0.139832,0.100861,0.0,0.0,0.0,0.9619751697564766,-3.1878711412344676,0.0216247871747509,0.005,-0.0,-0.0874
0.012,-0.009766,-0.007568,1.312256,0.549622,0.231384,0.314484,0.0,0.0,0.0,0.9094751364670259,-3.0343991253199016,0.028059505295393538,0.005,-0.0,-0.0874
0.0126,-0.016113,-0.008545,1.3125,0.580139,-0.012756,-0.02121,0.0,0.0,0.0,0.8605648803355708,-2.8807475434443,0.030480563407967478,0.005,-0.0,-0.0874
0.0115,-0.00293,-0.003418,1.306641,0.641174,0.261902,-0.082245,0.0,0.0,0.0,0.8302316748244215,-2.773291214750664,0.0313426350259029,0.005,-0.0,-0.0874
0.0121,-0.00293,-0.010498,1.317139,0.244446,0.383972,0.131378,0.0,0.0,0.0,0.7805439495104332,-2.6734434020959856,0.033381602999195244,0.005,-0.0,-0.0874
0.0124,-0.003906,-0.003662,1.319092,0.335999,0.170349,-0.112762,0.0,0.0,0.0,0.7531260539565392,-2.5817498376565258,0.033539117407820694,0.005,-0.0,-0.0874
0.0116,-0.013916,-0.007568,1.318604,0.793762,0.017761,0.100861,0.0,0.0,0.0,0.7237185852589524,-2.4759999053054074,0.03635316085778433,0.005,-0.0,-0.0874
0.0123,-0.011719,0.0,1.311035,0.458069,0.41449,0.253448,0.0,0.0,0.0,0.7105073736844805,-2.378691551732085,0.04215306084462352,0.005,-0.0,-0.0874
0.0115,-0.003418,0.000488,1.314453,0.366516,0.109314,0.161896,0.0,0.0,0.0,0.6981847335459591,-2.310123632729905,0.04566653765503724,0.005,-0.0,-0.0874
0.0121,-0.016113,-0.003174,1.313232,0.488586,0.231384,-0.02121,0.0,0.0,0.0,0.6809487809515348,-2.2183894953349363,0.04743403991924404,0.005,-0.0,-0.0874
0.0123,-0.008545,-0.003662,1.31665,0.549622,0.292419,0.009308,0.0,0.0,0.0,0.6648881038066019,-2.147431963597156,0.048541039322828286,0.005,-0.0,-0.0874
0.0125,0.005127,-0.002686,1.306641,0.458069,0.292419,-0.02121,0.0,0.0,0.0,0.6510505115249441,-2.1080679498303767,0.048023942332731634,0.005,-0.0,-0.0874
0.0117,-0.016602,-0.010986,1.314209,0.397034,0.292419,0.131378,0.0,0.0,0.0,0.6213922011709008,-2.029939436724142,0.04967382651632363,0.005,-0.0,-0.0874
0.012,-0.010986,-0.008545,1.311279,0.488586,0.445007,0.345001,0.0,0.0,0.0,0.5993039168803636,-1.9651202204267197,0.0538405019793342,0.005,-0.0,-0.0874
0.0121,-0.010986,0.000244,1.313721,0.519104,-0.073792,0.070343,0.0,0.0,0.0,0.595031251934387,-1.910038525512245,0.05647654401890171,0.005,-0.0,-0.0874
