dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.24019,0,0,0,0.305481,0.078796,-0.112762,0.0,0.0,0.0,4.0111242838510455,-12.264016320970466,-0.44964286506992157,0.0,0.0,0.0
0.0119,-0.001709,0.002686,1.313477,0.458069,0.261902,0.161896,0.0,0.0,0.0,3.3465399154327904,-10.16766502370631,-0.3177494515676271,0.0,0.0,0.0
0.0123,0.001953,-0.004883,1.305908,0.549622,0.139832,-0.204315,0.0,0.0,0.0,2.8291537013036225,-8.754460961405284,-0.23275947730528837,0.0,0.0,0.0
0.0121,-0.009766,-0.008057,1.313721,0.488586,0.383972,-0.02121,0.0,0.0,0.0,2.4286167944900012,-7.6282664040409545,-0.1739903266635085,0.0,0.0,0.0
0.011,-0.000244,-0.001953,1.313232,0.488586,0.048279,-0.051727,0.0,0.0,0.0,2.164347966152793,-6.8307011981166434,-0.13992799807991593,0.0,0.0,0.0
0.0123,-0.006104,-0.003418,1.311523,0.580139,0.445007,0.131378,0.0,0.0,0.0,1.9492990312271539,-6.161395983419862,-0.1124105954377485,0.0,0.0,0.0
0.0122,-0.014893,-0.006592,1.312744,0.610657,0.017761,-0.02121,0.0,0.0,0.0,1.7594769710815386,-5.576195515220956,-0.09202778115517718,0.0,0.0,0.0
0.012,-0.005615,-0.005371,1.305664,0.610657,-0.012756,-0.112762,0.0,0.0,0.0,1.6091579054265162,-5.137342481950346,-0.07863581707765879,0.0,0.0,0.0
0.0119,-0.000732,-0.000488,1.30957,0.458069,0.139832,0.161896,0.0,0.0,0.0,1.5036196903409076,-4.788170020623739,-0.06648083528842341,0.0,0.0,0.0
0.0137,-0.006104,0.001709,1.308838,0.671692,0.139832,0.222931,0.0,0.0,0.0,1.4267475148536106,-4.4674721961885115,-0.05514121451167625,0.0,0.0,0.0
0.0104,-0.004639,-0.003906,1.327148,0.519104,-0.043274,-0.14328,0.0,0.0,0.0,1.3357453831284303,-4.197924833446835,-0.04960921164513553,0.0,0.0,0.0
