dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.302028,-0.012695,-0.010498,1.309814,-0.06073,0.261902,0.283966,0.0,0.0,0.0,-0.09216600449848997,0.030287963942516836,0.08568250629294452,1.445,0.477,1.5025
0.0112,-0.009277,-0.007812,1.310059,-0.243835,-0.073792,0.314484,0.0,0.0,0.0,-0.11033765522328295,-0.03744813445642431,0.08919555107097044,1.445,0.477,1.5025
0.0127,-0.011475,-0.010986,1.308838,0.000305,0.170349,0.192413,0.0,0.0,0.0,-0.1497560044523664,-0.06079919915282866,0.0916806011453041,1.445,0.477,1.5025
0.0122,-0.010986,-0.010498,1.304688,0.000305,-0.012756,0.192413,0.0,0.0,0.0,-0.1744732592743417,-0.08325524329834053,0.09406350314797075,1.445,0.477,1.5025
0.012,-0.01001,-0.010498,1.308594,-0.121765,-0.104309,0.497589,0.0,0.0,0.0,-0.19430273697628941,-0.107825555929495,0.10006610016121317,1.445,0.477,1.5025
0.0118,-0.010742,-0.012939,1.306641,0.091858,0.139832,0.253448,0.0,0.0,0.0,-0.22277104768112616,-0.1201292413438146,0.10313153422052998,1.445,0.477,1.5025
0.0119,-0.009766,-0.006348,1.30957,-0.030212,-0.073792,0.283966,0.0,0.0,0.0,-0.21022166613172466,-0.13748154685690891,0.106438532978281,1.445,0.477,1.5025
0.0119,-0.011475,-0.009521,1.300293,0.244446,-0.104309,0.283966,0.0,0.0,0.0,-0.21316470262226025,-0.1436340096469414,0.10984054441113215,1.445,0.477,1.5025
0.0122,-0.010498,-0.010742,1.310791,-0.091248,-0.34845,0.375519,0.0,0.0,0.0,-0.22455483356108885,-0.15602924101114,0.11447252693321208,1.445,0.477,1.5025
0.0115,-0.011963,-0.011475,1.310303,-0.121765,0.109314,0.009308,0.0,0.0,0.0,-0.2377052531495175,-0.15552198506963152,0.11463024224316419,1.445,0.477,1.5025
0.0127,-0.010498,-0.01123,1.312988,0.06134,-0.195862,0.192413,0.0,0.0,0.0,-0.24605418395340778,-0.16427038711517075,0.11711643320970586,1.445,0.477,1.5025
0.0116,-0.010742,-0.007812,1.309326,-0.213318,0.170349,0.222931,0.0,0.0,0.0,-0.24361568750430004,-0.1669973131725491,0.1196571273322555,0.0,0.0,0.0
0.0122,-0.011475,-0.009277,1.311279,-0.091248,-0.134827,0.161896,0.0,0.0,0.0,-0.24545715534290188,-0.17007983501879392,0.1216400307803505,0.0,0.0,0.0
