dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.0109,-0.016357,-0.012695,1.30835,0.000305,0.048279,0.253448,0.0,0.0,0.0,-0.08922626762596683,0.016682571856676456,0.0027491831362405545,1.844,-0.252,-2.0032
0.0123,-0.012207,-0.006104,1.30835,0.152893,0.109314,0.192413,0.0,0.0,0.0,-0.08592666004798839,-0.010044088890264357,0.005108513773811595,1.844,-0.252,-2.0032
0.0124,-0.013672,-0.005615,1.311768,-0.091248,0.139832,0.161896,0.0,0.0,0.0,-0.0819544171544194,-0.016914011777964387,0.007110230610376823,1.844,-0.252,-2.0032
0.0113,-0.013184,-0.008057,1.30957,-0.121765,0.231384,0.528107,0.0,0.0,0.0,-0.09641701472181853,-0.024510256606975582,0.013078785800388466,1.844,-0.252,-2.0032
0.0125,-0.011719,-0.009277,1.312256,-0.213318,-0.012756,0.222931,0.0,0.0,0.0,-0.11651432197567274,-0.041684323744485344,0.015875263986329453,1.844,-0.252,-2.0032
0.0117,-0.011475,-0.008057,1.307373,-0.030212,-0.317932,0.283966,0.0,0.0,0.0,-0.12403751431663666,-0.060093007726958816,0.019208118434493392,1.844,-0.252,-2.0032
0.0124,-0.014648,-0.008545,1.309814,-0.06073,-0.104309,-0.234833,0.0,0.0,0.0,-0.13304715382931828,-0.05709173595256588,0.01631489100239396,1.844,-0.252,-2.0032
0.0115,-0.018555,-0.010254,1.307617,0.000305,0.109314,0.161896,0.0,0.0,0.0,-0.1479770195142752,-0.034032788225123456,0.018208167616958995,1.844,-0.252,-2.0032
0.0127,-0.016113,-0.009033,1.307861,-0.091248,-0.104309,0.100861,0.0,0.0,0.0,-0.1564005793245944,-0.02737120823374104,0.019505095439940466,1.844,-0.252,-2.0032
0.0114,-0.015137,-0.006836,1.312256,0.000305,0.170349,0.070343,0.0,0.0,0.0,-0.15375300015734142,-0.022652324896223625,0.02030354021007334,1.844,-0.252,-2.0032
0.0122,-0.011963,-0.00708,1.304443,-0.06073,0.292419,0.161896,0.0,0.0,0.0,-0.1531195076138549,-0.02888085409022426,0.022258669218738585,1.844,-0.252,-2.0032
0.0115,-0.012939,-0.008789,1.30835,0.000305,0.261902,0.192413,0.0,0.0,0.0,-0.1579206510186632,-0.031158659204415164,0.024461444540851578,1.844,-0.252,-2.0032
0.0127,-0.013428,-0.009766,1.311768,-0.030212,0.139832,0.222931,0.0,0.0,0.0,-0.16573248168738286,-0.03251834885366686,0.027290657990378737,1.844,-0.252,-2.0032
0.012,-0.01416,-0.009277,1.305664,0.06134,-0.012756,0.314484,0.0,0.0,0.0,-0.1701791336135351,-0.03316263806550113,0.031069298289285927,1.844,-0.252,-2.0032
0.0122,-0.015381,-0.00708,1.312256,-0.1828,0.231384,0.314484,0.0,0.0,0.0,-0.17032474135951958,-0.027283695771701526,0.03490006350691752,1.844,-0.252,-2.0032
0.0112,-0.012207,-0.010498,1.303467,0.06134,0.048279,0.253448,0.0,0.0,0.0,-0.17758027751506736,-0.0330563982990675,0.037734963936627536,1.844,-0.252,-2.0032
0.0128,-0.015869,-0.009033,1.310303,-0.030212,-0.226379,0.314484,0.0,0.0,0.0,-0.18109941352235412,-0.03158607320204252,0.041780056982267534,1.844,-0.252,-2.0032
0.0116,-0.015869,-0.008545,1.309814,-0.06073,-0.104309,0.314484,0.0,0.0,0.0,-0.18336292706511842,-0.028765896973882425,0.04544040123935602,0.0,0.0,0.0
0.0124,-0.018799,-0.00708,1.310547,-0.06073,0.017761,0.558624,0.0,0.0,0.0,-0.1818752749943353,-0.017605425819619484,0.05238509318668823,0.0,0.0,0.0
0.0114,-0.01416,-0.005371,1.306641,-0.030212,0.109314,0.467072,0.0,0.0,0.0,-0.17609048068947317,-0.017413309286202078,0.05770345559266626,0.0,0.0,0.0
0.012,-0.01416,-0.006836,1.312012,-0.121765,0.078796,0.253448,0.0,0.0,0.0,-0.17518605573865417,-0.017476606031845202,0.06074013562340084,0.0,0.0,0.0
0.0117,-0.009521,-0.010986,1.305664,0.000305,-0.104309,0.222931,0.0,0.0,0.0,-0.18219076207468507,-0.029841443961751108,0.06333911300066662,0.0,0.0,0.0
0.0122,-0.016846,-0.009766,1.307129,0.122375,0.078796,0.314484,0.0,0.0,0.0,-0.18463849215235154,-0.023628876820136258,0.06718486358824538,0.0,0.0,0.0
0.0126,-0.01709,-0.00415,1.310547,0.000305,0.139832,0.283966,0.0,0.0,0.0,-0.17674199980461464,-0.016558758103342393,0.07076331709350916,0.0,0.0,0.0
