time,velocity,dist_error
0.000,0.500,1.0000
0.050,0.396,0.9947
0.050,0.383,0.9764
0.050,0.376,0.9580
0.050,0.367,0.9377
0.050,0.359,0.9177
0.050,0.351,0.8971
0.050,0.340,0.8734
0.050,0.335,0.8559
0.052,0.330,0.8397
0.050,0.324,0.8245
0.050,0.315,0.8061
0.050,0.317,0.7987
0.050,0.301,0.7760
0.050,0.299,0.7616
0.050,0.291,0.7441
0.050,0.286,0.7298
0.050,0.281,0.7156
0.050,0.275,0.7019
0.050,0.270,0.6884
0.050,0.265,0.6752
0.050,0.257,0.6585
0.050,0.254,0.6463
0.050,0.249,0.6338
0.051,0.244,0.6220
0.050,0.237,0.6070
0.050,0.234,0.5953
0.051,0.231,0.5868
0.050,0.222,0.5707
0.050,0.219,0.5594
0.050,0.215,0.5481
0.050,0.211,0.5377
0.050,0.205,0.5248
0.050,0.202,0.5152
0.050,0.198,0.5048
0.050,0.194,0.4951
0.050,0.191,0.4861
0.050,0.186,0.4752
0.050,0.183,0.4658
0.050,0.179,0.4567
0.050,0.176,0.4481
0.050,0.172,0.4394
0.050,0.169,0.4309
0.050,0.164,0.4204
0.050,0.162,0.4127
0.050,0.159,0.4047
0.050,0.156,0.3970
0.050,0.153,0.3895
0.050,0.148,0.3799
0.050,0.146,0.3725
0.050,0.143,0.3650
0.050,0.140,0.3581
0.050,0.138,0.3516
0.050,0.135,0.3452
0.050,0.131,0.3366
0.050,0.129,0.3297
0.050,0.127,0.3234
0.050,0.124,0.3171
0.050,0.122,0.3109
0.052,0.119,0.3047
0.050,0.116,0.2976
0.053,0.114,0.2914
0.054,0.111,0.2848
0.050,0.110,0.2796
0.052,0.108,0.2749
0.050,0.105,0.2692
0.050,0.104,0.2643
0.055,0.102,0.2592
0.050,0.100,0.2551
0.052,0.096,0.2475
0.050,0.095,0.2426
0.050,0.092,0.2367
0.050,0.091,0.2319
0.050,0.089,0.2270
0.050,0.087,0.2227
0.050,0.085,0.2177
0.050,0.084,0.2138
0.050,0.083,0.2103
0.050,0.083,0.2066
0.050,0.083,0.2027
0.050,0.083,0.1984
0.050,0.083,0.1931
0.050,0.083,0.1889
0.050,0.083,0.1846
0.051,0.083,0.1809
0.050,0.083,0.1754
0.051,0.083,0.1713
0.052,0.083,0.1690
0.051,0.083,0.1663
0.050,0.083,0.1583
0.050,0.083,0.1549
0.050,0.083,0.1502
0.050,0.083,0.1450
0.050,0.083,0.1398
0.050,0.083,0.1362
0.050,0.083,0.1322
0.050,0.083,0.1284
0.050,0.083,0.1218
0.050,0.083,0.1184
0.050,0.083,0.1140
0.050,0.083,0.1103
0.050,0.083,0.1073
0.050,0.083,0.1022
0.050,0.083,0.0981
0.050,0.083,0.0940
0.050,0.083,0.0901
0.050,0.083,0.0886
0.050,0.083,0.0838
0.050,0.083,0.0830
0.050,0.083,0.0799
0.050,0.083,0.0769
0.050,0.083,0.0690
0.050,0.083,0.0640
0.050,0.083,0.0599
0.050,0.083,0.0552
0.050,0.083,0.0504
0.050,0.083,0.0466
0.050,0.083,0.0428
0.050,0.083,0.0414
0.050,0.083,0.0385
0.050,0.083,0.0362
0.050,0.083,0.0314
0.050,0.083,0.0285
0.050,0.083,0.0251
0.050,0.083,0.0215
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.051,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.051,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.051,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.054,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
0.050,0.000,0.0158
