dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.330532,0,0,0,0.335999,0.292419,-0.14328,0.0,0.0,0.0,4.45430125747453,-13.40923874873388,-0.5544631475338907,0.994,0.098,0.0793
0.0129,-0.006104,-0.00708,1.32373,0.397034,0.292419,0.009308,0.0,0.0,0.0,3.534418768957455,-10.877115847249582,-0.3560924527697981,0.994,0.098,0.0793
0.0118,-0.009521,-0.013184,1.321289,0.274963,0.109314,0.100861,0.0,0.0,0.0,2.870104935992814,-9.153449829554557,-0.23533673350718856,0.994,0.098,0.0793
0.0121,-0.011475,-0.010986,1.324463,0.580139,0.261902,0.039825,0.0,0.0,0.0,2.4186728889197453,-7.897248699162584,-0.16446795222100546,0.994,0.098,0.0793
0.0119,-0.007324,-0.01416,1.310791,0.213928,0.292419,0.100861,0.0,0.0,0.0,2.0540336137643562,-6.977694552845465,-0.11411543130728974,0.994,0.098,0.0793
0.0118,-0.007324,-0.010498,1.324463,0.213928,0.139832,0.253448,0.0,0.0,0.0,1.7935348505805355,-6.259259494861064,-0.07917183090152508,0.994,0.098,0.0793
0.0122,-0.008789,-0.00708,1.320312,0.244446,0.048279,0.070343,0.0,0.0,0.0,1.6047176976867739,-5.6745283320929385,-0.05639873200270326,0.994,0.098,0.0793
0.0115,-0.009766,-0.009033,1.322754,0.152893,0.475525,0.100861,0.0,0.0,0.0,1.439170480242214,-5.184882078882895,-0.03800971863714737,0.994,0.098,0.0793
0.0124,-0.007812,-0.012451,1.322998,0.274963,0.445007,0.161896,0.0,0.0,0.0,1.2865862547655835,-4.783928776957808,-0.022333935706945987,0.994,0.098,0.0793
0.0122,-0.006348,-0.01416,1.322021,0.305481,0.353455,0.131378,0.0,0.0,0.0,1.1504513500788631,-4.450539692308753,-0.010036371954438466,0.994,0.098,0.0793
0.012,-0.008057,-0.009033,1.320312,0.305481,0.292419,0.161896,0.0,0.0,0.0,1.0543015483723357,-4.157615605114597,0.0005606125929699798,0.994,0.098,0.0793
0.012,-0.008789,-0.007812,1.317871,0.427551,0.261902,0.192413,0.0,0.0,0.0,0.9769759309299229,-3.9005602046404606,0.010087056584114412,0.994,0.098,0.0793
0.0123,-0.005371,-0.010498,1.319092,0.427551,0.200867,0.314484,0.0,0.0,0.0,0.9000625806677494,-3.687497760532496,0.019328936740545793,0.994,0.098,0.0793
0.0112,-0.00708,-0.008545,1.320068,0.152893,0.231384,-0.173798,0.0,0.0,0.0,0.835938206906648,-3.49316486251971,0.0222938921678661,0.994,0.098,0.0793
0.0117,-0.004639,-0.009521,1.321045,0.244446,0.170349,0.070343,0.0,0.0,0.0,0.776817702945955,-3.3281398580029298,0.026848121646973908,0.994,0.098,0.0793
0.0125,-0.009033,-0.011719,1.319336,0.366516,-0.104309,0.222931,0.0,0.0,0.0,0.718990433762516,-3.170347685671284,0.032962087213863414,0.994,0.098,0.0793
0.0122,-0.007324,-0.00708,1.321533,0.488586,0.170349,0.192413,0.0,0.0,0.0,0.6815564662765123,-3.029659977433181,0.03880912584674241,0.994,0.098,0.0793
0.0118,-0.009521,-0.006104,1.318359,0.274963,0.353455,0.100861,0.0,0.0,0.0,0.6480207544178782,-2.894232608112638,0.0435414520335046,0.994,0.098,0.0793
0.0118,-0.010742,-0.010254,1.318848,0.305481,0.231384,0.314484,0.0,0.0,0.0,0.6071544433261226,-2.7690482305417388,0.04964089384942026,0.994,0.098,0.0793
0.0126,-0.01001,-0.012451,1.318359,0.610657,0.200867,0.039825,0.0,0.0,0.0,0.5685511950407387,-2.6564141087697166,0.05161822440606274,0.994,0.098,0.0793
0.0117,-0.007568,-0.007812,1.320557,0.427551,0.139832,0.131378,0.0,0.0,0.0,0.5418327407431442,-2.559512994291426,0.055172590221858824,0.994,0.098,0.0793
0.0122,-0.006348,-0.013672,1.320068,0.122375,0.200867,0.222931,0.0,0.0,0.0,0.5006206973324552,-2.472201756576576,0.058147628712819456,0.994,0.098,0.0793
0.0119,-0.012451,-0.008301,1.32373,0.122375,0.445007,0.406036,0.0,0.0,0.0,0.4743176257866659,-2.3753141535986475,0.06524806381068697,0.994,0.098,0.0793
0.0114,-0.006592,-0.009766,1.325439,0.274963,0.200867,-0.112762,0.0,0.0,0.0,0.4487468051798103,-2.300471850291302,0.06488191348490002,0.994,0.098,0.0793
0.012,-0.005859,-0.008545,1.318848,0.427551,0.261902,-0.02121,0.0,0.0,0.0,0.4294117051631981,-2.231570441358972,0.06563279559967933,0.994,0.098,0.0793
0.0122,-0.007324,-0.009277,1.319824,0.335999,0.048279,0.100861,0.0,0.0,0.0,0.4090633930991099,-2.166803142781587,0.06773215715696343,0.994,0.098,0.0793
0.012,-0.005859,-0.011475,1.321777,0.183411,0.322937,-0.02121,0.0,0.0,0.0,0.38419480852892207,-2.1058550017400735,0.06752725115455431,0.994,0.098,0.0793
0.012,-0.009766,-0.013184,1.316895,0.488586,0.139832,0.070343,0.0,0.0,0.0,0.3612501039886242,-2.043584819580314,0.06837561319380778,0.994,0.098,0.0793
0.0121,-0.004395,-0.011963,1.317139,0.427551,0.231384,0.009308,0.0,0.0,0.0,0.34144139276773555,-1.9936788031523984,0.06810564111160486,0.994,0.098,0.0793
0.0121,-0.010986,-0.010742,1.317139,0.366516,0.261902,0.283966,0.0,0.0,0.0,0.32429526371935674,-1.9347506742596159,0.07226399920008492,0.994,0.098,0.0793
0.0121,-0.008545,-0.013428,1.320557,0.580139,0.292419,0.283966,0.0,0.0,0.0,0.30619747015486853,-1.8829161158337564,0.07533124174282758,0.994,0.098,0.0793
0.0126,-0.006348,-0.010254,1.319336,0.030823,0.292419,0.314484,0.0,0.0,0.0,0.28810517415135856,-1.8373833272438707,0.07948187132770926,0.994,0.098,0.0793
0.0119,-0.009033,-0.009766,1.323486,0.397034,0.048279,-0.173798,0.0,0.0,0.0,0.2762310288348625,-1.792848846359396,0.07799424017362099,0.994,0.098,0.0793
0.0117,-0.010254,-0.01001,1.318848,0.274963,0.261902,0.222931,0.0,0.0,0.0,0.26308479800241885,-1.7463691680262632,0.08120647505598794,0.994,0.098,0.0793
0.0117,-0.005371,-0.010254,1.320068,0.427551,0.41449,-0.112762,0.0,0.0,0.0,0.2521665450242627,-1.7079738378818594,0.07978153142944264,0.994,0.098,0.0793
0.0124,-0.008789,-0.008789,1.316406,0.213928,0.200867,0.009308,0.0,0.0,0.0,0.24177837575878391,-1.6685605738667273,0.08053722313154284,0.994,0.098,0.0793
0.0114,-0.007568,-0.009033,1.317383,0.305481,0.078796,0.161896,0.0,0.0,0.0,0.23236164498591316,-1.6343784858632833,0.08275476270060549,0.994,0.098,0.0793
0.012,-0.003174,-0.013184,1.31958,0.427551,0.353455,0.039825,0.0,0.0,0.0,0.2191288833489653,-1.6048526150835285,0.0819910594779862,0.994,0.098,0.0793
0.0123,-0.003174,-0.011475,1.324951,0.335999,0.292419,0.100861,0.0,0.0,0.0,0.20807324203064012,-1.5771624806749773,0.08246595120441431,0.994,0.098,0.0793
0.0117,-0.006104,-0.01001,1.326172,0.305481,0.261902,0.070343,0.0,0.0,0.0,0.19910130811565416,-1.5471320017379149,0.08323447382642724,0.994,0.098,0.0793
0.0125,-0.004639,-0.009033,1.320068,0.366516,0.109314,0.192413,0.0,0.0,0.0,0.192821512252483,-1.5220559545307772,0.08562358903684009,0.0,0.0,0.0
0.0123,-0.006592,-0.012939,1.321777,0.397034,0.322937,0.131378,0.0,0.0,0.0,0.18204218228544666,-1.4928819365899053,0.08645058000967062,0.0,0.0,0.0
