time,velocity,dist_error
0.000,0.500,1.0151
0.050,0.402,1.0100
0.050,0.391,0.9940
0.050,0.382,0.9740
0.050,0.370,0.9492
0.050,0.364,0.9300
0.050,0.357,0.9112
0.050,0.347,0.8893
0.050,0.341,0.8713
0.050,0.335,0.8547
0.050,0.329,0.8386
0.050,0.323,0.8235
0.051,0.315,0.8050
0.050,0.310,0.7903
0.050,0.304,0.7751
0.050,0.298,0.7602
0.050,0.292,0.7453
0.050,0.287,0.7311
0.050,0.279,0.7137
0.050,0.274,0.6990
0.050,0.268,0.6843
0.050,0.263,0.6707
0.050,0.258,0.6581
0.050,0.251,0.6424
0.050,0.247,0.6297
0.050,0.243,0.6180
0.050,0.238,0.6063
0.050,0.233,0.5948
0.050,0.229,0.5836
0.050,0.222,0.5695
0.050,0.219,0.5584
0.050,0.215,0.5477
0.050,0.211,0.5371
0.050,0.207,0.5267
0.050,0.200,0.5138
0.050,0.198,0.5040
0.050,0.194,0.4946
0.050,0.190,0.4853
0.050,0.187,0.4765
0.050,0.184,0.4676
0.050,0.178,0.4564
0.050,0.175,0.4472
0.050,0.171,0.4378
0.050,0.168,0.4290
0.051,0.164,0.4190
0.050,0.162,0.4117
0.050,0.159,0.4043
0.050,0.155,0.3963
0.050,0.152,0.3887
0.051,0.148,0.3798
0.050,0.146,0.3723
0.050,0.143,0.3650
0.050,0.141,0.3582
0.050,0.138,0.3519
0.050,0.135,0.3441
0.050,0.132,0.3374
0.050,0.130,0.3308
0.050,0.128,0.3249
0.050,0.125,0.3190
0.050,0.122,0.3117
0.050,0.120,0.3059
0.050,0.117,0.2993
0.050,0.115,0.2930
0.050,0.113,0.2872
0.050,0.110,0.2815
0.050,0.109,0.2768
0.050,0.106,0.2715
0.050,0.104,0.2663
0.050,0.102,0.2612
0.050,0.100,0.2560
0.050,0.097,0.2494
0.050,0.096,0.2444
0.050,0.094,0.2399
0.050,0.093,0.2359
0.050,0.091,0.2314
0.050,0.089,0.2264
0.050,0.087,0.2219
0.050,0.085,0.2172
0.050,0.084,0.2133
0.050,0.083,0.2089
0.050,0.083,0.2039
0.050,0.083,0.1996
0.050,0.083,0.1961
0.050,0.083,0.1924
0.050,0.083,0.1883
0.050,0.083,0.1846
0.050,0.083,0.1794
0.050,0.083,0.1748
0.050,0.083,0.1705
0.050,0.083,0.1664
0.050,0.083,0.1625
0.050,0.083,0.1581
0.050,0.083,0.1552
0.050,0.083,0.1505
0.050,0.083,0.1459
0.050,0.083,0.1415
0.050,0.083,0.1365
0.050,0.083,0.1327
0.050,0.083,0.1284
0.050,0.083,0.1252
0.050,0.083,0.1213
0.050,0.083,0.1157
0.050,0.083,0.1119
0.050,0.083,0.1081
0.050,0.083,0.1036
0.050,0.083,0.0995
0.050,0.083,0.0951
0.050,0.083,0.0900
0.050,0.083,0.0864
0.050,0.083,0.0820
0.050,0.083,0.0782
0.050,0.083,0.0734
0.050,0.083,0.0691
0.050,0.083,0.0657
0.050,0.083,0.0624
0.050,0.083,0.0585
0.050,0.083,0.0539
0.050,0.083,0.0489
0.050,0.083,0.0449
0.050,0.083,0.0401
0.050,0.083,0.0365
0.050,0.083,0.0330
0.050,0.083,0.0281
0.050,0.083,0.0241
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.051,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
0.050,0.000,0.0195
