dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.354592,-0.01001,-0.008301,1.321289,0.244446,0.170349,0.100861,0.0,0.0,0.0,0.013377475754026294,-0.024526679600833455,0.035787244118350145,1.015,0.005,0.0162
0.012,-0.01416,-0.005127,1.321289,0.244446,0.231384,0.161896,0.0,0.0,0.0,0.008155537936834302,-0.025696362652455004,0.03773529922159405,1.015,0.005,0.0162
0.012,-0.007324,-0.007324,1.315186,0.427551,0.475525,0.161896,0.0,0.0,0.0,-0.013761870713463987,-0.08820469612168895,0.039693863217375294,1.015,0.005,0.0162
0.0152,-0.011475,-0.003906,1.318848,0.305481,0.322937,0.070343,0.0,0.0,0.0,-0.0013932178432795924,-0.0988573864651278,0.04073498604084467,1.015,0.005,0.0162
0.0089,-0.01001,-0.00415,1.317383,0.183411,0.109314,0.222931,0.0,0.0,0.0,0.004087076275428751,-0.11999924887947919,0.04269834790074892,1.015,0.005,0.0162
0.0113,-0.010742,-0.006836,1.31958,0.366516,0.322937,0.131378,0.0,0.0,0.0,-0.006065320516240607,-0.12928510517046568,0.04422938104947311,1.015,0.005,0.0162
0.0124,-0.008301,-0.007568,1.323486,0.366516,0.139832,-0.326385,0.0,0.0,0.0,-0.01745797984126778,-0.15168941676047965,0.040232164833373364,1.015,0.005,0.0162
0.0118,-0.010498,-0.004639,1.321289,0.152893,0.048279,0.314484,0.0,0.0,0.0,-0.013911311971547328,-0.1597194582583679,0.043926253874266026,1.015,0.005,0.0162
0.0123,-0.010742,-0.005615,1.318359,0.427551,0.292419,0.192413,0.0,0.0,0.0,-0.012226015381320537,-0.1624856727655992,0.046304740575717845,1.015,0.005,0.0162
0.0117,-0.007812,-0.002686,1.322754,0.305481,0.200867,-0.02121,0.0,0.0,0.0,0.0007259951365455241,-0.17830046057344365,0.04598672568433871,1.015,0.005,0.0162
0.0117,-0.009033,-0.001465,1.32959,0.244446,0.383972,0.283966,0.0,0.0,0.0,0.01623712240272234,-0.18467050106467484,0.04922326794040551,1.015,0.005,0.0162
0.0119,-0.009033,-0.004883,1.317871,0.152893,0.445007,0.009308,0.0,0.0,0.0,0.01614824551935775,-0.18933746571936255,0.04934521765621587,1.015,0.005,0.0162
