time,velocity,dist_error
0.000,0.500,1.0005
0.050,0.396,0.9947
0.050,0.385,0.9782
0.050,0.377,0.9607
0.050,0.369,0.9420
0.050,0.360,0.9210
0.050,0.352,0.9007
0.050,0.344,0.8800
0.050,0.333,0.8567
0.050,0.330,0.8405
0.050,0.323,0.8246
0.050,0.318,0.8103
0.050,0.310,0.7922
0.050,0.305,0.7779
0.050,0.299,0.7633
0.050,0.294,0.7491
0.050,0.288,0.7347
0.050,0.283,0.7206
0.050,0.280,0.7099
0.050,0.268,0.6896
0.050,0.265,0.6764
0.050,0.260,0.6635
0.050,0.255,0.6508
0.050,0.248,0.6350
0.050,0.244,0.6228
0.050,0.240,0.6111
0.051,0.235,0.5994
0.050,0.228,0.5850
0.050,0.225,0.5735
0.050,0.221,0.5631
0.050,0.217,0.5525
0.050,0.212,0.5418
0.050,0.207,0.5290
0.050,0.203,0.5188
0.050,0.199,0.5086
0.050,0.196,0.4988
0.050,0.192,0.4889
0.050,0.188,0.4798
0.050,0.183,0.4688
0.050,0.180,0.4598
0.050,0.177,0.4511
0.050,0.174,0.4426
0.050,0.171,0.4348
0.050,0.166,0.4248
0.050,0.163,0.4165
0.050,0.160,0.4084
0.050,0.157,0.4002
0.050,0.154,0.3922
0.050,0.149,0.3826
0.050,0.147,0.3751
0.050,0.145,0.3684
0.050,0.142,0.3618
0.050,0.139,0.3550
0.050,0.137,0.3485
0.050,0.133,0.3401
0.050,0.131,0.3334
0.050,0.128,0.3266
0.050,0.126,0.3202
0.050,0.123,0.3140
0.050,0.120,0.3069
0.050,0.118,0.3012
0.050,0.116,0.2957
0.050,0.114,0.2902
0.050,0.112,0.2849
0.050,0.108,0.2780
0.050,0.107,0.2724
0.051,0.105,0.2673
0.050,0.103,0.2620
0.050,0.101,0.2569
0.050,0.098,0.2509
0.050,0.097,0.2461
0.050,0.095,0.2414
0.050,0.093,0.2366
0.050,0.091,0.2320
0.050,0.088,0.2264
0.050,0.087,0.2219
0.050,0.086,0.2187
0.050,0.084,0.2144
0.050,0.083,0.2107
0.050,0.083,0.2061
0.050,0.083,0.1999
0.050,0.083,0.1960
0.050,0.083,0.1923
0.050,0.083,0.1885
0.050,0.083,0.1850
0.050,0.083,0.1802
0.050,0.083,0.1762
0.050,0.083,0.1721
0.050,0.083,0.1678
0.050,0.083,0.1639
0.050,0.083,0.1600
0.050,0.083,0.1551
0.050,0.083,0.1511
0.050,0.083,0.1464
0.050,0.083,0.1420
0.050,0.083,0.1386
0.050,0.083,0.1334
0.050,0.083,0.1301
0.050,0.083,0.1267
0.050,0.083,0.1225
0.050,0.083,0.1176
0.050,0.083,0.1120
0.050,0.083,0.1085
0.050,0.083,0.1040
0.050,0.083,0.0992
0.050,0.083,0.0960
0.050,0.083,0.0915
0.050,0.083,0.0865
0.050,0.083,0.0834
0.050,0.083,0.0802
0.050,0.083,0.0761
0.050,0.083,0.0725
0.050,0.083,0.0677
0.050,0.083,0.0627
0.050,0.083,0.0596
0.050,0.083,0.0550
0.050,0.083,0.0518
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0505
0.050,0.083,0.0480
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.051,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.051,0.000,0.0028
0.051,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.051,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.051,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.051,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
0.050,0.000,0.0028
